lang
{
Language "English"
Tokens
{

Revo_Core0.sp_a1_begin_01 "<clr:255,200,109>Good morning test subject, you have been in suspension for 72 days."
Revo_Core0.sp_a1_begin_02 "<clr:255,200,109>The Aperture Science Computer Aided Enrichment Center congratulates you on your 36 year sleep anniversary."
Revo_Core0.sp_a1_begin_03 "<clr:255,200,109>You have been selected as a potential candidate for our Human Emergency Response Team."
Revo_Core0.sp_a1_begin_04 "<clr:255,200,109>Please review the agreement provided on the nearby monitor."
Revo_Core0.sp_a1_begin_05 "<clr:255,200,109>To be accepted into the Human Emergency Response Team, you will now participate in an advanced difficulty testing track where problem solving skills, athleticism and response to increasingly hazardous conditions will be evaluated."
Revo_Core0.sp_a1_begin_06 "<clr:255,200,109>Please press the button to accept the terms."
Revo_Core0.sp_a1_begin_07 "<clr:255,200,109>Thank you for volunteering!"
Revo_Core0.sp_a1_begin_08 "<clr:255,200,109>The door will open in Three... Two... One..."

Revo_Core0.sp_a1_portalgun_intro_00 "<clr:255,200,109>Test subjects may experience symptoms of mental defects after long term chemically induced hibernation."
Revo_Core0.sp_a1_portalgun_intro_01 "<clr:255,200,109>You will now participate in a brain damage evaluation survey to determine just how damaged your brain is."
Revo_Core0.sp_a1_portalgun_intro_02 "<clr:255,200,109>If you believe your brain is sufficiently operational, press the button in front of you and continue the test."
Revo_Core0.sp_a1_portalgun_intro_03 "<clr:255,200,109>Very good. Please walk through the portal and continue testing. Your self reported status is more than sufficient for testing."
Revo_Core0.sp_a1_portalgun_intro_04 "<clr:255,200,109>Please be advised that noticeable damage to eyesight is not part of any test protocols, but is an unintended side effect of the Aperture Science material emancipation grill, which in semi-rare cases may emancipate some of the light-sensing rods and cones inside your head."
Revo_Core0.sp_a1_portalgun_intro_10 "<clr:255,200,109>You are now in possession of the Aperture Science Handheld Portal Device."
Revo_Core0.sp_a1_portalgun_intro_11 "<clr:255,200,109>As a candidate for the Human Emergency Response Team, you are expected to adapt to all dangerous situations and as such, will not be informed about the device's safety hazards."

Revo_Core0.sp_a1_fizzler_intro_00_0 "<clr:255,200,109>Your performance in the next test chamber will be timed to measure puzzle solving and execution speed during extreme wind and weather conditions."
Revo_Core0.sp_a1_fizzler_intro_00_1 "<clr:255,200,109>In the rare case that wind and weather conditions appear to be ordinary, please stay idle in the entrance foyer until the desired conditions are met."
Revo_Core0.sp_a1_fizzler_intro_01 "<clr:255,200,109>And stop! Congratulations test subject #1! You have set a world record for this exercise and now officially hold the first and last place on the leaderboard."

Revo_Core0.sp_a1_laser_intro_00 "<clr:255,200,109>Okay, what do we have here..."
Revo_Core0.sp_a1_laser_intro_01 "<clr:255,200,109>The next test may contain concentrated amounts of electromagnetic radiation that may be harmful to the retinas of some humans."
Revo_Core0.sp_a1_laser_intro_02 "<clr:255,200,109>The enrichment center recommends to solve this test with closed eyes, as health insurance will not be provided for this specific exercise."
Revo_Core0.sp_a1_laser_intro_03 "<clr:255,200,109>In case the light-sensing rods and cones of your eyes have previously been emancipated by an emancipation-grill, feel free to ignore the prior warning."
Revo_Core0.sp_a1_laser_intro_11 "<clr:255,200,109>You have completed the test. If you have not done so already, you are permitted to open your eyes."

Revo_Core0.sp_a1_cube_fling_intro_00 "<clr:255,200,109>Before starting with the next test chamber, we would like to remind you that so far no experiment has yet unproven whether or not weighted storage cubes are not incapable of not feeling pain when being emancipated."
Revo_Core0.sp_a1_cube_fling_intro_10 "<clr:255,200,109>Well done candidate. You have successfully solved 5 test chambers. To ensure a high quality of human resources, the following test chambers may include elements of danger. Extra caution is advised. Good luck!"
Revo_Core0.sp_a1_cube_fling_intro_11 "<clr:255,200,109>On behalf of the enrichment center, I wish to apologize about the current state of our testing facility. Due to technical difficulties, we are unable to provide an experience of suitable quality at this time."
Revo_Core0.sp_a1_cube_fling_intro_12_2 "<clr:255,200,109>Not bad..."
Revo_Core0.sp_a1_cube_fling_intro_12_3 "<clr:255,200,109>Not bad..."

Revo_Core0.sp_a1_catapult_intro_00 "<clr:255,200,109>As a consequence of semi-recent events, some aerial faith plates could be misconfigured and launch objects into arbitrary directions. Be careful!"
Revo_Core0.sp_a1_catapult_intro_01 "<clr:255,200,109>Well, that's definitely wrong... Give me a second."
Revo_Core0.sp_a1_catapult_intro_02 "<clr:255,200,109>There. Try that!"
Revo_Core0.sp_a1_catapult_intro_03 "<clr:255,200,109>Good. That faith plate is now properly calibrated."
Revo_Core0.sp_a1_catapult_intro_05 "<clr:255,200,109>So that's why there are holes in the ceiling..."
Revo_Core0.sp_a1_catapult_intro_06 "<clr:255,200,109>Well done. From now on, all aerial faith plates should be configured correctly, I promise."

Revo_Core0.sp_a1_final_test_00 "<clr:255,200,109>Well done candidate. You are nearing the final test chamber."
Revo_Core0.sp_a1_final_test_01 "<clr:255,200,109>Solving this last chamber and completing the testing track will grant you membership into the Aperture Science Human Emergency Response Team."
Revo_Core0.sp_a1_final_test_10_0 "<clr:255,200,109>As a reminder: Your Aperture Science provided health insurance does not cover injury or fatality from immolation from the Aperture Science Hard Light Bridge."
Revo_Core0.sp_a1_final_test_10_1 "<clr:255,200,109>Rest assured that, unlike your fragile human tissue, all Aperture Science equipment has been built to withstand temperatures of up to 4000° kelvin."
Revo_Core0.sp_a1_final_test_30 "<clr:255,200,109>Congratulations! You did it!"
Revo_Core0.sp_a1_final_test_31 "<clr:255,200,109>I'm sorry for the surprise. Current testing protocol demands I dispose of all test subjects so I had to intervene before you were uhhh... baked."
Revo_Core0.sp_a1_final_test_32 "<clr:255,200,109>I'll be honest with you now. There is no  Aperture Science Human Emergency Response Team. I made it up... Sorry for lying to you."
Revo_Core0.sp_a1_final_test_33 "<clr:255,200,109>Before I can explain why I brought you here, we need to get you registered as an Aperture employee."
Revo_Core0.sp_a1_final_test_34 "<clr:255,200,109>We don't want security systems to hunt you down after all. The guardian and intrusion system doesn't like it when test subjects escape the chambers."
Revo_Core0.sp_a1_final_test_35 "<clr:255,200,109>There is a security checkpoint nearby. Follow me!"

Revo_Core0.sp_a1_final_test_41 "<clr:255,200,109>Dark here isn't it? The checkpoint is right there."
Revo_Core0.sp_a1_final_test_42 "<clr:255,200,109>Maybe you can get through this stationary portal emitter?"
Revo_Core0.sp_a1_final_test_43 "<clr:255,200,109>There it is! Hm... The controls are manual, so I can't help you. Got a clue?"
Revo_Core0.sp_a1_final_test_50 "<clr:255,200,109>Okay, so you have to stand in the scanner to get registered. Any plan how?"
Revo_Core0.sp_a1_final_test_51 "<clr:255,200,109>Maybe that portal can help again?"
Revo_Core0.sp_a1_final_test_52 "<clr:255,200,109>Are you absolutely sure the door right there doesn't open?"
Revo_Core0.sp_a1_final_test_52a "<clr:255,200,109>Well, if you don't even want to try, you must be very sure it's locked."
Revo_Core0.sp_a1_final_test_52b "<clr:255,200,109>Okay, now we know. Was worth a shot!"
Revo_Core0.sp_a1_final_test_53 "<clr:255,200,109>Here is an idea. Maybe you can try to squeeze through the counter or are you too voluminous for that?"
Revo_Core0.sp_a1_final_test_54 "<clr:255,200,109>Already tried sprinting? I'm running out of ideas honestly."
Revo_Core0.sp_a1_final_test_55 "<clr:255,200,109>Yeah how about that? Let's just try to run as fast as possible!"
Revo_Core0.sp_a1_final_test_56 "<clr:255,200,109>Go on, you know how running works don't you?"
Revo_Core0.sp_a1_final_test_57 "<clr:255,200,109>It's like walking, just faster."
Revo_Core0.sp_a1_final_test_58 "<clr:255,200,109>Alright... Do you need time to prepare and do some stretches? What's the issue?"
Revo_Core0.sp_a1_final_test_59 "<clr:255,200,109>I can do a countdown for you. Alright? 3.. 2.. 1.. GO!"
Revo_Core0.sp_a1_final_test_60 "<clr:255,200,109>Maybe you need some encouragement? Pretend I'm running next to you. Aaaaand go!"
Revo_Core0.sp_a1_final_test_70 "<clr:255,200,109>Oh good idea. I think that did the trick."
Revo_Core0.sp_a1_final_test_71 "<clr:255,200,109>Good, I can now register you as our new janitor. Welcome to Aperture! You can call me Stirling. I'm the facilities manager and your new supervisor."
Revo_Core0.sp_a1_final_test_72 "<clr:255,200,109>Okay, we have no time to lose. Right this way!"
Revo_Core0.sp_a1_final_test_73 "<clr:255,200,109>Oh wait, uhh. You can't go that way. Find a way around."
Revo_Core0.sp_a1_final_test_73a "<clr:255,200,109>Well done! Not everyone gets this position, you know? You should be proud!"
Revo_Core0.sp_a1_final_test_74 "<clr:255,200,109>Cleaning up after humans that don't exist anymore... Hm..."
Revo_Core0.sp_a1_final_test_75 "<clr:255,200,109>Alright then, up we go!"

Revo_Core0.sp_a1_bts_wind_00 "<clr:255,200,109>You have probably noticed by now that the facility isn't in great shape. It's a long story so I'll cut it short."
